=== Run information ===

Scheme:       weka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A "weka.core.EuclideanDistance -R first-last" -I 500 -num-slots 1 -S 10
Relation:     Sales_Transactions_Dataset_Weekly
Instances:    811
Attributes:   107
              [list of attributes omitted]
Test mode:    evaluate on training data


=== Clustering model (full training set) ===


kMeans
======

Number of iterations: 20
Within cluster sum of squared errors: 3320.6883338601037

Initial starting points (random):

Cluster 0: P387,5,3,0,1,9,5,10,5,0,6,3,2,2,2,4,4,4,4,2,6,2,5,2,1,5,5,3,1,4,1,2,3,0,1,1,2,2,4,3,2,4,0,6,4,1,2,3,2,1,5,4,9,0,10,0.5,0.3,0,0.1,0.9,0.5,1,0.5,0,0.6,0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.6,0.2,0.5,0.2,0.1,0.5,0.5,0.3,0.1,0.4,0.1,0.2,0.3,0,0.1,0.1,0.2,0.2,0.4,0.3,0.2,0.4,0,0.6,0.4,0.1,0.2,0.3,0.2,0.1,0.5,0.4,0.9
Cluster 1: P61,25,30,32,47,45,50,40,35,33,33,35,43,41,32,38,40,30,36,27,26,39,38,34,33,24,22,18,36,28,33,27,24,25,30,31,30,19,26,36,28,39,35,37,32,25,31,29,28,37,22,31,26,18,50,0.22,0.38,0.44,0.91,0.84,1,0.69,0.53,0.47,0.47,0.53,0.78,0.72,0.44,0.63,0.69,0.38,0.56,0.28,0.25,0.66,0.63,0.5,0.47,0.19,0.13,0,0.56,0.31,0.47,0.28,0.19,0.22,0.38,0.41,0.38,0.03,0.25,0.56,0.31,0.66,0.53,0.59,0.44,0.22,0.41,0.34,0.31,0.59,0.13,0.41,0.25
Cluster 2: P279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 3: P663,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,1,0,1,0,0,1,2,1,0,0,1,1,2,1,3,0,1,1,1,0,1,1,0,0,2,0,2,0,1,1,1,2,1,0,3,0,0,0,0.67,0,0,0,0,0,0,0,0.33,0,1,0.33,0.33,0.33,0,0,0.33,0,0.33,0,0,0.33,0.67,0.33,0,0,0.33,0.33,0.67,0.33,1,0,0.33,0.33,0.33,0,0.33,0.33,0,0,0.67,0,0.67,0,0.33,0.33,0.33,0.67,0.33

Missing values globally replaced with mean/mode

Final cluster centroids:
                             Cluster#
Attribute        Full Data          0          1          2          3
                   (811.0)    (196.0)    (123.0)    (270.0)    (222.0)
======================================================================
Product_Code            P1         P1        P15       P212         P2
W0                  8.9026    11.7908    33.8455     0.1778     3.1441
W1                  9.1295    11.7857    35.3496     0.2037     3.1126
W2                  9.3896    11.8878    36.8862     0.2185     3.1036
W3                  9.7176    11.9847    38.5203     0.2074     3.3243
W4                  9.5746    12.2806    36.8537     0.2519     3.4099
W5                  9.4661    12.5765    36.0813     0.2148     3.2252
W6                  9.7201    12.3469     37.813      0.237     3.3694
W7                  9.5857    12.0765    36.8293     0.1963     3.7117
W8                  9.7842    12.4796    38.2033     0.1778     3.3423
W9                  9.6819    12.3367    37.4065     0.2296      3.473
W10                 9.7904    12.3622    38.3902     0.2037     3.3333
W11                 9.6782    13.0102    36.5366     0.2037     3.3784
W12                 9.8274     12.602    37.9024     0.2259        3.5
W13                 9.6868    12.2296    37.4878     0.3185     3.4324
W14                 9.9075    12.4796    38.1382     0.2815     3.7027
W15                10.0456    12.7653    38.8862     0.1889     3.6532
W16                10.0333    12.8878    39.0894        0.2     3.3739
W17                 9.9051    13.1582    37.4146     0.2037     3.5901
W18                10.0074     12.699    38.4146     0.3074     3.6892
W19                 9.6449    12.5714    36.7642     0.2148     3.5045
W20                 9.8496    12.7806    37.7642     0.2778     3.4369
W21                 9.7102    12.9133    36.0732     0.3667     3.6396
W22                 9.9026    13.3214    36.4146     0.3667     3.7928
W23                 9.8619    13.4643    35.1057      0.337     4.2793
W24                10.1665    15.3418    32.8618     0.5296     4.7432
W25                 8.8927    14.4286     25.748     0.6259     4.7207
W26                 6.9507     8.6939    26.5366     0.2778     2.6757
W27                 7.1936     9.0816    27.4959     0.2667     2.7027
W28                 7.3835     8.9745    28.9106     0.2889     2.6802
W29                 7.3391     9.0357    28.5447     0.2704     2.6892
W30                 7.6079     9.3163    29.7724     0.2704     2.7432
W31                 7.6104     9.4796    29.0569     0.3185     2.9459
W32                 7.7596      9.648    30.3008     0.3148     2.6577
W33                 7.9063     9.7551    30.5528     0.3444     2.9234
W34                 7.9926    10.0357    30.5447     0.3185      3.027
W35                 7.9975    10.2296     30.374     0.3185     2.9685
W36                 8.0148     9.6888    30.8862     0.3556     3.1802
W37                  8.074    10.2398    30.6179     0.3519     3.0631
W38                 8.2515     9.9898     31.935     0.3593     3.1937
W39                 7.9655      9.801    30.5203     0.3296     3.1351
W40                 8.1825     9.8163    31.4797        0.4     3.2973
W41                 8.2404    10.3112    31.5041     0.3667     3.0991
W42                 8.3946    10.2194    32.1463     0.3926     3.3559
W43                 8.3181    10.2398    31.7073     0.3852     3.3108
W44                  8.434    10.4337    31.8049     0.4185     3.4685
W45                 8.5561    10.3827    32.5854     0.5037     3.4234
W46                 8.7201     10.449    33.0976     0.5593     3.6126
W47                 8.6708    10.9949     32.374     0.4185     3.5225
